tema|dificultad|enunciado|alternativa1|alternativa2|alternativa3|alternativa4|alternativa5|claveCorrecta|explicacion|origen
Física|MEDIA|Una esfera de masa 1 kg se desplaza a 4 m/s sobre una superficie horizontal lisa y colisiona de manera completamente inelástica con otra esfera de masa 3 kg que se encuentra en reposo. Halle la rapidez del sistema inmediatamente después del choque.|1 m/s|2 m/s|3 m/s|4 m/s|12 m/s|0|Por conservación de la cantidad de movimiento: m1*v1 + m2*v2 = (m1 + m2)*V_final => 1*4 + 3*0 = (1 + 3)*V_final => 4 = 4*V_final => V_final = 1 m/s.|IA_APROBADA
Física|MEDIA|Calcule la cantidad de calor necesaria que se debe suministrar a 200 g de agua líquida para elevar su temperatura de 20 °C a 70 °C. (Calor específico del agua = 1 cal/g°C)|2 kcal|4 kcal|8 kcal|10 kcal|14 kcal|3|El calor necesario es Q = m * c * ΔT = 200 g * 1 cal/g°C * (70 - 20) °C = 200 * 50 = 10 000 cal = 10 kcal.|IA_APROBADA
Física|MEDIA|Un circuito eléctrico consta de dos resistencias en paralelo de R1 = 6 ohm y R2 = 3 ohm conectadas a una fuente de voltaje ideal de 12 V. Determine la intensidad de corriente total que suministra la fuente.|1 A|2 A|4 A|6 A|8 A|3|La resistencia equivalente en paralelo es Req = (R1 * R2) / (R1 + R2) = (6 * 3) / (6 + 3) = 18 / 9 = 2 ohm. Según la ley de Ohm, I = V / Req = 12 V / 2 ohm = 6 A.|IA_APROBADA
Física|MEDIA|Un cuerpo de masa m oscila unido a un resorte de constante elástica k = 100 N/m sobre una superficie horizontal lisa realizando un MAS. Si la amplitud del movimiento es de 0.2 m, determine la energía mecánica total del sistema.|1 J|2 J|4 J|10 J|20 J|1|La energía mecánica en un MAS es E = (1/2) * k * A² = 0.5 * 100 N/m * (0.2 m)² = 50 * 0.04 = 2 J.|IA_APROBADA
Física|MEDIA|Un objeto se coloca a 20 cm frente a un espejo esférico cóncavo que posee una distancia focal de 10 cm. Calcule la distancia de la imagen respecto al vértice del espejo.|5 cm|10 cm|15 cm|20 cm|30 cm|3|Usando la ecuación de Descartes para espejos: 1/f = 1/i + 1/o => 1/10 = 1/i + 1/20 => 1/i = 1/10 - 1/20 = 1/20 => i = 20 cm.|IA_APROBADA
Física|DIFICIL|Un bloque A de masa 2 kg se mueve horizontalmente hacia la derecha con velocidad de 6 m/s e impacta frontal y elásticamente contra un bloque B de masa 4 kg originalmente en reposo. Determine la velocidad del bloque B inmediatamente después del choque.|2 m/s|4 m/s|3 m/s|6 m/s|1 m/s|1|Para una colisión elástica unidimensional con el segundo cuerpo en reposo, v2' = [2*m1 / (m1 + m2)] * v1 = [2(2) / (2 + 4)] * 6 m/s = (4/6) * 6 = 4 m/s hacia la derecha.|IA_APROBADA
Física|DIFICIL|Un conductor rectilíneo de 0,5 m de longitud transporta una corriente eléctrica de 4 A en presencia de un campo magnético uniforme de 0,3 T. Si el cable forma un ángulo de 30° con la dirección del campo magnético, ¿cuál es el módulo de la fuerza magnética sobre el conductor?|0,3 N|0,6 N|1,2 N|0,15 N|0,5 N|0|La magnitud de la fuerza magnética sobre una corriente rectilínea es F = I * L * B * sen(θ) = 4 A * 0,5 m * 0,3 T * sen(30°) = 4 * 0,5 * 0,3 * 0,5 = 0,3 N.|IA_APROBADA
Física|DIFICIL|Un rayo de luz viaja en el aire (índice de refracción n1 = 1) e incide sobre una superficie plana de un material transparente de índice n2 = √3. Si el ángulo de incidencia es 60°, determine el ángulo de refracción dentro del material.|30°|45°|60°|15°|37°|0|Aplicando la ley de Snell: n1 * sen(θ1) = n2 * sen(θ2) => 1 * sen(60°) = √3 * sen(θ2) => (√3/2) = √3 * sen(θ2) => sen(θ2) = 1/2, lo que corresponde a θ2 = 30°.|IA_APROBADA
Física|DIFICIL|En un experimento sobre el efecto fotoeléctrico, la función de trabajo de una placa metálica es de 2,0 eV. Si se ilumina la placa con fotones de energía igual a 5,2 eV, ¿cuál es la energía cinética máxima de los fotoelectrones emitidos?|3,2 eV|7,2 eV|2,6 eV|10,4 eV|1,6 eV|0|Según la ecuación del efecto fotoeléctrico de Einstein: E_fotón = función_trabajo + Ek_máx. Por lo tanto, Ek_máx = 5,2 eV - 2,0 eV = 3,2 eV.|IA_APROBADA
Física|DIFICIL|Un satélite de masa m orbita circularmente alrededor de la Tierra (de masa M y radio R) a una altitud h = R sobre la superficie terrestre. Exprese la velocidad orbital v del satélite en términos de la aceleración de la gravedad en la superficie g = G*M/R².|sqrt(g*R / 2)|sqrt(g*R)|sqrt(2*g*R)|sqrt(g*R / 4)|2*sqrt(g*R)|0|La aceleración centrípeta la provee la fuerza de gravedad a la distancia r = R + h = 2R: m*v²/r = G*M*m/r² => v = sqrt(G*M / r). Como r = 2R y G*M = g*R², v = sqrt(g*R² / 2R) = sqrt(g*R / 2).|IA_APROBADA
Física|DIFICIL|Una partícula inicia su movimiento desde el reposo en una trayectoria circular de radio R = 2 m con una aceleración angular constante de 3 rad/s². Determine la magnitud de la aceleración tangencial en t = 2 s.|3 m/s²|6 m/s²|12 m/s²|18 m/s²|24 m/s²|1|La aceleración tangencial es constante y está dada por a_t = alpha * R = 3 rad/s² * 2 m = 6 m/s².|IA_APROBADA
Física|DIFICIL|Un satélite orbita a una altura h equivalente al radio terrestre R sobre la superficie de la Tierra. Si el peso de un objeto en la superficie terrestre es W, ¿cuál será la fuerza de atracción gravitacional de la Tierra sobre dicho objeto a esa altura h?|W/8|W/4|W/2|W|2W|1|La distancia desde el centro de la Tierra es r = R + h = 2R. La fuerza gravitacional es F = G * M * m / r² = G * M * m / (2R)² = (1/4) * (G * M * m / R²) = W / 4.|IA_APROBADA
Física|DIFICIL|Un gas ideal monoatómico experimenta un proceso isobárico a una presión constante de P = 2 x 10^5 Pa, cambiando su volumen de V1 = 1 L a V2 = 4 L. Halle la variación de su energía interna ΔU. (1 L = 10^-3 m³)|300 J|450 J|600 J|900 J|1200 J|3|Para un gas ideal monoatómico, la variación de energía interna es ΔU = (3/2) * P * ΔV = 1.5 * (2x10^5 Pa) * (3x10^-3 m³) = 1.5 * 600 = 900 J.|IA_APROBADA
Física|DIFICIL|Una partícula con carga q = +2 uC y masa m = 1 x 10^-8 kg ingresa perpendicularmente a un campo magnético uniforme B = 0.5 T con una rapidez de v = 4 x 10^4 m/s. Halle el radio de la trayectoria circular descrita por la partícula.|100 m|200 m|400 m|800 m|1000 m|2|La fuerza magnética actúa como fuerza centrípeta: q * v * B = m * v² / r => r = (m * v) / (q * B) = (10^-8 kg * 4x10^4 m/s) / (2x10^-6 C * 0.5 T) = (4x10^-4) / (10^-6) = 400 m.|IA_APROBADA
Física|DIFICIL|Una cuerda fija en ambos extremos de longitud L = 1.5 m vibra en su tercer armónico generando una onda estacionaria con una frecuencia de 120 Hz. ¿Cuál es la rapidez de propagación de las ondas en la cuerda?|60 m/s|80 m/s|120 m/s|180 m/s|240 m/s|2|La frecuencia del n-ésimo armónico en una cuerda fija en ambos extremos es f_n = n * v / (2 * L). Para n = 3: 120 = 3 * v / (2 * 1.5) => 120 = 3 * v / 3 => v = 120 m/s.|IA_APROBADA
Física|DIFICIL|En un experimento de efecto fotoeléctrico, un metal con una función de trabajo de 2.0 eV es iluminado con fotones de energía igual a 5.0 eV. Calcule el potencial de frenado necesario para anular la corriente fotoeléctrica.|1.0 V|2.0 V|3.0 V|5.0 V|7.0 V|2|Según la ecuación de Einstein del efecto fotoeléctrico: E_fotón = W + Ec_máx => 5.0 eV = 2.0 eV + Ec_máx => Ec_máx = 3.0 eV. Dado que Ec_máx = e * V_s, el potencial de frenado V_s es 3.0 V.|IA_APROBADA
Física|DIFICIL|Una nave espacial de longitud propia L0 = 100 m se desplaza a una velocidad constante v = 0.8 c respecto a un observador en la Tierra (donde c es la velocidad de la luz). Determine la longitud de la nave medida por el observador en la Tierra debido a la contracción de Lorentz.|36 m|60 m|80 m|100 m|125 m|1|Por la contracción de la longitud relativista: L = L0 * sqrt(1 - v²/c²) = 100 * sqrt(1 - 0.8²) = 100 * sqrt(1 - 0.64) = 100 * sqrt(0.36) = 100 * 0.6 = 60 m.|IA_APROBADA
Geografía|FACIL|¿Cuál de los siguientes elementos forma parte de la geosfera y constituye el agente antrópico fundamental en la modificación del espacio geográfico?|La atmósfera|La flora silvestre|La sociedad humana|La hidrosfera|El relieve continental|2|La sociedad humana actúa como el agente antrópico que transforma el espacio geográfico mediante la construcción de infraestructuras y el desarrollo de actividades económicas.|IA_APROBADA
Geografía|FACIL|Las pampas de la costa peruana son relieves de origen aluvial con alto potencial agrícola. ¿Cuál es el principal factor limitante para su aprovechamiento en la agroexportación?|La salinidad del suelo|La falta de recurso hídrico|Las heladas invernales|El relieve accidentado|La presencia de huaycos frecuentes|1|Las pampas son áreas llanas fértiles, pero al ubicarse en la franja desértica costera requieren obras de irrigación por la escasez crónica de agua.|IA_APROBADA
Geografía|FACIL|El fenómeno El Niño provoca alteraciones climáticas significativas en la costa norte del Perú. ¿Cuál es su manifestación hidrometeorológica principal en esta zona?|Sequías severas en el litoral|Incremento de heladas astronómicas|Precipitaciones intensas e inundaciones|Descenso de la temperatura del agua del mar|Aumento sostenido de los vientos alisios|2|El Niño ocasiona el calentamiento anómalo de las aguas del mar en el norte del Perú, lo que desencadena una mayor evaporación y lluvias intensas e inundaciones.|IA_APROBADA
Geografía|FACIL|La vertiente hidrográfica del Pacífico peruano se caracteriza porque la mayoría de sus ríos tienen un curso de corta longitud y un régimen de tipo:|Regular|Irregular|Endorreico|Arreico|Nival constante|1|Los ríos del Pacífico peruano presentan un régimen irregular: incrementan notoriamente su caudal durante los meses de verano y sufren un acentuado estiaje en invierno.|IA_APROBADA
Geografía|FACIL|La cordillera de los Andes, la cadena montañosa continental más larga del planeta, se extiende a lo largo del sector occidental del continente de:|América del Norte|América Central|América del Sur|Eurasia|África|2|La cordillera de los Andes recorre la franja occidental de América del Sur atravesando siete países: Venezuela, Colombia, Ecuador, Perú, Bolivia, Chile y Argentina.|IA_APROBADA
Geografía|FACIL|¿Qué principio geográfico, formulado por Friedrich Ratzel, establece la necesidad de ubicar de manera exacta el lugar, extensión y límites de un hecho o fenómeno geográfico?|Localización|Causalidad|Comparación|Evolución|Relación|0|El principio de localización o extensión, formulado por Friedrich Ratzel, señala que todo hecho o fenómeno geográfico debe ser determinado en cuanto a su ubicación, extensión y límites sobre la superficie terrestre.|IA_APROBADA
Geografía|FACIL|En la región de la Selva Alta del Perú, el paso de los ríos a través de las cadenas montañosas de los Andes genera geoformas estrechas y profundas conocidas como:|Colectoras|Pongos|Restingas|Tahuampas|Pampas|1|Los pongos son cañones fluviales formados por el desgaste que realizan los ríos al atravesar las cadenas montañosas en la Selva Alta peruana.|IA_APROBADA
Geografía|FACIL|El lago Titicaca, ubicado en la meseta del Collao a más de 3800 m s. n. m., se caracteriza hidrológicamente por formar una cuenca de tipo:|Exorreica|Endorreica|Arreica|Criptorreica|Abisal|1|La cuenca del lago Titicaca es endorreica porque sus ríos colectores drenan sus aguas hacia el interior del continente, desembocando en el mismo lago sin salida directa al océano.|IA_APROBADA
Geografía|FACIL|¿Cuál es el río más extenso del continente africano que desemboca en forma de delta en las aguas del mar Mediterráneo?|Congo|Níger|Zambezi|Nilo|Orange|3|El río Nilo es el más largo de África y desemboca en el mar Mediterráneo formando un delta.|IA_APROBADA
Geografía|FACIL|Los recursos naturales que tienen la capacidad de regenerarse mediante procesos naturales a una velocidad igual o mayor a su tasa de consumo se clasifican como:|Inagotables exclusivamente|No renovables|Renovables|Minerales metálicos|Fósiles|2|Los recursos renovables son aquellos de origen biológico o hídrico que pueden restaurarse mediante procesos naturales en escalas de tiempo humanas.|IA_APROBADA
Geografía|FACIL|Durante la ocurrencia del fenómeno El Niño en las costas del Perú, el indicador oceánico más representativo es:|El enfriamiento anómalo de las aguas marinas|El incremento de la salinidad en el sur|El aumento de la temperatura superficial del mar|El afloramiento de aguas frías profundas|El descenso del nivel del mar frente a Piura|2|El fenómeno El Niño se caracteriza por el calentamiento anómalo de la temperatura superficial del mar en el Pacífico ecuatorial y la costa norte del Perú.|IA_APROBADA
Geografía|FACIL|De acuerdo con la organización política y administrativa del territorio peruano, la unidad territorial de menor jerarquía gobernada por un alcalde distrital es el:|Departamento|Distrito|Provincia|Caserío|Sector|1|El distrito constituye la subunidad de menor nivel dentro de la organización territorial y política oficial del Estado peruano dotada de autonomía municipal.|IA_APROBADA
Geografía|MEDIA|La fosa marina de Perú-Chile y la orogénesis de la cordillera de los Andes son consecuencia directa de la interacción de placas tectónicas de tipo:|Divergente entre la placa Africana y la Sudamericana|Transformante entre la placa del Pacífico y la Norteamericana|Convergente por subducción de la placa de Nazca bajo la Sudamericana|Convergente por colisión continental de la placa Euroasiática|Divergente por expansión del fondo oceánico en la dorsal de Nazca|2|El borde convergente por subducción, donde la placa de Nazca (oceánica) se introduce debajo de la placa Sudamericana (continental), genera la fosa oceánica y el levantamiento andino.|IA_APROBADA
Geografía|MEDIA|Respecto al cambio climático en la región andina del Perú, uno de los impactos biogeográficos directos observados en las últimas décadas es:|La expansión acelerada de las masas glaciares tropicales|La desalinización masiva del Océano Pacífico Sur|La migración altitudinal de especies de flora y fauna hacia cotas superiores|El aumento de la presión atmosférica en los pisos altitudinales altos|La reducción generalizada del nivel del mar en la franja costera|2|El aumento progresivo de las temperaturas obliga a diversas especies a desplazar sus hábitats hacia zonas de mayor altitud buscando rangos térmicos adecuados.|IA_APROBADA
Geografía|MEDIA|En la gestión del riesgo de desastres, la acción preventiva orientada a evitar la generación de nuevas vulnerabilidades en el territorio se enmarca dentro de:|La respuesta inmediata durante la emergencia|La reconstrucción posterior al evento destructivo|La gestión prospectiva del riesgo|La evaluación de daños y análisis de necesidades (EDAN)|La rehabilitación temporal de servicios básicos|2|La gestión prospectiva abarca las medidas que se planifican e implementan con anticipación para garantizar que no se generen nuevas condiciones de riesgo o vulnerabilidad en el desarrollo urbano y territorial.|IA_APROBADA
Geografía|MEDIA|La ecorregión del Bosque Seco Ecuatorial en el Perú se distribuye en sectores de la costa norte y se caracteriza morfológica y climáticamente por presentar:|Un clima frío de alta montaña con vegetación de pajonal|Un clima cálido y seco con precipitaciones estacionales en verano|Un clima semicálido muy húmedo con presencia de vegetación perennifolia densa|Un clima templado subhúmedo con bosques de coníferas|Un clima gélido dominado por formaciones de tundra|1|El Bosque Seco Ecuatorial (Tumbes, Piura, Lambayeque, La Libertad) presenta altas temperaturas y una estación seca prolongada, interrumpiéndose por lluvias durante los meses de verano.|IA_APROBADA
Geografía|MEDIA|La minería formal en el Perú es una actividad extractiva clave para la economía nacional. Identifique la alternativa que relaciona correctamente el yacimiento minero con su principal recurso extraído:|Antamina - Hierro|Marcona - Cobre|Yanacocha - Oro|Las Bambas - Estaño|San Rafael - Zinc|2|Yanacocha, ubicado en la región Cajamarca, ha sido uno de los yacimientos a tajo abierto más importantes del país dedicados principalmente a la extracción de oro.|IA_APROBADA
Geografía|MEDIA|La cordillera de los Andes se ha formado debido al proceso tectónico de subducción en el cual convergen las placas tectónicas denominadas:|Placa del Pacífico y Placa del Caribe|Placa de Nazca y Placa Sudamericana|Placa Africana y Placa Antártica|Placa Euroasiática y Placa Indoaustraliana|Placa de Cocos y Placa de Nazca|1|El orógeno andino es resultado de la subducción de la Placa oceánica de Nazca por debajo de la Placa continental Sudamericana.|IA_APROBADA
Geografía|MEDIA|Geoformas de origen marino situadas en la costa peruana que representan terrazas en levantamiento epeirogénico y destacan por albergar yacimientos de hidrocarburos:|Pampas|Estribaciones andinas|Tablazos|Depresiones|Albuferas|2|Los tablazos son antiguas plataformas marinas levantadas por fuerzas epeirogénicas que concentran reservas de petróleo y gas, como el caso de Máncora y Talara.|IA_APROBADA
Geografía|MEDIA|¿Cuál de las siguientes proposiciones explica de forma directa el acelerado retroceso glaciar observada en las cordilleras del Perú?|Reducción paulatina del efecto invernadero estratosférico|Aumento de concentraciones de gases de efecto invernadero en la tropósfera|Fortalecimiento permanente de los vientos alisios del sudeste|Inversión térmica recurrente en la franja costera|Disminución constante de la radiación solar incidente|1|El incremento troposférico de gases como CO2 y CH4 retiene más radiación infrarroja, impulsando el calentamiento global y la rápida deglaciación tropical.|IA_APROBADA
Geografía|MEDIA|En la dinámica demográfica del Perú contemporáneo, el predominio poblacional de la región Costa sobre la Sierra y la Selva responde principalmente a:|La mayor extensión territorial litoral frente a las regiones interiores|Los intensos procesos migratorios del campo a la ciudad desde mediados del siglo XX|La abundancia de valles glaciares dedicados a la agricultura de subsistencia|Las elevadas tasas de natalidad rural registradas en las ciudades costeras|Las políticas coloniales de poblamiento de las pampas desérticas|1|A partir de los años 1950, las migraciones masivas del ámbito rural andino hacia las urbes costeras reconfiguraron el perfil poblacional concentrando allí a más del 50 % de habitantes.|IA_APROBADA
Geografía|MEDIA|El foso oceánico de mayor profundidad del planeta, conocido como la fosa de las Marianas, se localiza en el océano Pacífico al este del continente:|Africano|Americano|Asiático|Europeo|Antártico|2|La fosa de las Marianas se ubica en el margen occidental del Océano Pacífico, adyacente a la costa oriental del continente asiático.|IA_APROBADA
Geografía|MEDIA|En el marco de la Gestión del Riesgo de Desastres, la predisposición o debilidad intrínseca de una población o infraestructura a sufrir daños ante la ocurrencia de un peligro se denomina:|Amenaza natural|Vulnerabilidad|Resiliencia|Peligro inminente|Riesgo mitigado|1|La vulnerabilidad evalúa el nivel de susceptibilidad o incapacidad de un sistema para soportar el impacto de un evento adverso o peligro.|IA_APROBADA
Geografía|MEDIA|La industria pesquera peruana orientada al consumo humano indirecto (harina y aceite) sustenta principalmente sus volúmenes de captura en la especie denominada:|Merluza|Bonito|Anchoveta|Pota|Caballa|2|La anchoveta peruana (Engraulis ringens) es el recurso hidrobiológico clave utilizado en la elaboración industrial de harina y aceite de pescado.|IA_APROBADA
Geografía|DIFICIL|De acuerdo con los datos del Instituto Nacional de Estadística e Informática (INEI), la estructura demográfica actual del Perú refleja un proceso de transición demográfica caracterizado por:|El ensanchamiento acelerado de la base de la pirámide poblacional|El incremento de la tasa bruta de natalidad y la reducción de la esperanza de vida|Un paulatino envejecimiento poblacional acompañado del estrechamiento de la base piramidal|La reducción sustancial de la Población en Edad de Trabajar (PET)|El mantenimiento de una tasa global de fecundidad superior a 5 hijos por mujer|2|La transición demográfica en el Perú muestra una disminución constante de las tasas de natalidad y mortalidad, reduciendo la proporción de niños (base estrecha) y aumentando la proporción de adultos y adultos mayores.|IA_APROBADA
Geografía|DIFICIL|En el marco de la organización política y administrativa del territorio peruano, determine cuál de las siguientes proposiciones describe correctamente la situación actual de los niveles de gobierno:|Las regiones actuales coinciden exactamente con las macroregiones transversales aprobadas en 1980|Los departamentos vigentes constituyen la base territorial sobre la cual operan los Gobiernos Regionales|Las municipalidades provinciales están exentas del control administrativo de la contraloría general|La Provincia Constitucional del Callao carece de un Gobierno Regional propio y autónomo|El distrito de Lima Metropolitana está supeditado al Gobierno Regional de Lima Provincias|1|A través del proceso de descentralización, los 24 departamentos históricos más la Provincia Constitucional del Callao asumieron funciones de Gobiernos Regionales de forma provisional a la espera de una futura integración en macroregiones.|IA_APROBADA
Geografía|DIFICIL|El continente asiático destaca por sus contrastes altimétricos e hidrográficos. Identifique la relación correcta entre el río asiático y el cuerpo de agua donde vierte sus aguas:|Río Mékong - Océano Ártico|Río Yeniséi - Océano Índico|Río Yangtsé - Océano Pacífico|Río Indo - Mar del Japón|Río Éufrates - Mar Caspio|2|El río Yangtsé (Río Azul), el más largo de Asia, fluye hacia el este desde la meseta del Tíbet y desemboca en el Mar de la China Oriental, el cual forma parte del Océano Pacífico.|IA_APROBADA
Geografía|DIFICIL|En la geografía física del Viejo Mundo, la frontera natural y punto geopolítico de convergencia entre el sudoeste del continente europeo y el noroeste del continente africano está delimitada por:|El canal de Suez, que une el mar Rojo con el mar Mediterráneo|El estrecho de Dardanelos, que conecta el mar Egeo con el mar de Mármara|El estrecho de Gibraltar, que conecta el océano Atlántico con el mar Mediterráneo|El estrecho de Kattegat, que une el mar del Norte con el mar Báltico|El estrecho de Bosphoro, que divide la Península Arábiga del continente europeo|2|El estrecho de Gibraltar separa la península ibérica (Europa) del norte de África (Marruecos), comunicando las aguas del océano Atlántico con el mar Mediterráneo.|IA_APROBADA
Geografía|DIFICIL|El desarrollo sostenible exige conciliar el crecimiento económico, la equidad social y la preservación ambiental. ¿Cuál de las siguientes problemáticas representa la mayor externalidad ambiental negativa provocada por la minería ilegal de aluvión en la Amazonía sur del Perú?|La eutrofización masiva por la descarga irrestricta de fertilizantes fosfatados|La bioacumulación de mercurio en la fauna acuática y la deforestación de bosques primarios|La lluvia ácida provocada por emisiones masivas de dióxido de azufre industrial|La destrucción directa de la capa de ozono estratosférico por compuestos fluorados|La salinización severa de los acuíferos subterráneos por sobreexplotación hídrica|1|La minería de oro ilegal en la cuenca de Madre de Dios devasta los bosques de terraza y cauce, utilizando mercurio para azogar el metal precioso, lo cual contamina la cadena trófica de los ríos amazónicos.|IA_APROBADA
Geografía|DIFICIL|Desde el punto de vista geopolítico y del comercio marítimo global, el estrecho de Malaca es un pasaje estratégico que comunica comercialmente:|El océano Atlántico con el mar Mediterráneo en Europa|El océano Índico con el mar de la China Meridional en Asia|El océano Pacífico con el océano Atlántico en América|El mar Rojo con el golfo de Adén en África|El mar del Norte con el mar Báltico en Europa|1|El estrecho de Malaca está situado en el sudeste asiático entre la península de Malasia y la isla de Sumatra, conectando el océano Índico con el mar de la China Meridional (Pacífico).|IA_APROBADA
Geografía|DIFICIL|En la geomorfología de alta montaña andina, las cavidades o anfiteatros erosionados por masas de hielo que al derretirse originan lagunas altoandinas se denominan:|Pasos o abras|Circos glaciares|Mesetas vulcano-sedimentarias|Cañones de erosión|Valles longitudinales|1|Los circos glaciares son depresiones semicirculares labradas por la acumulación y erosión del hielo glaciar en las cabeceras de las cuencas de alta montaña.|IA_APROBADA
Geografía|DIFICIL|En la llanura amazónica (Selva Baja), las terrazas bajas que se inundan únicamente durante la época de crecientes extraordinarias de los ríos, aprovechadas para la agricultura estacional, son las:|Tahuampas|Restingas|Altos|Filos|Meandros|1|Las restingas son zonas periódicamente inundables durante grandes crecientes fluviales, diferenciándose de las tahuampas o aguajales que permanecen anegadas permanentemente.|IA_APROBADA
Geografía|DIFICIL|Según el esquema de las 11 ecorregiones de Antonio Brack Egg, ¿cuál ecorregión se ubica entre los 3800 m s. n. m. y las nieves perpetuas, con marcado frío diurno-nocturno y vegetación de pajonal?|Páramo|Puna|Serranía Esteparia|Bosque Seco Ecuatorial|Sabana de Palmeras|1|La ecorregión de la Puna abarca desde los 3800 m s. n. m. hasta unos 4800 m s. n. m., caracterizándose por temperaturas bajas, heladas y gramíneas del género Stipa y Festuca (ichu).|IA_APROBADA
Geografía|DIFICIL|Durante la fase fría del fenómeno ENOS, conocida como La Niña, ¿qué condición oceanográfica se acentúa en el litoral peruano?|Debilitamiento de vientos alisios y fuerte calentamiento marino|Intensificación de vientos alisios y anomalía negativa de la TSM por afloramiento|Profundización de la termoclina e invasión de aguas ecuatoriales cálidas|Aumento inusual de las precipitaciones en la costa sur|Desaparición del anticiclón del Pacífico Sur|1|Durante La Niña, los vientos alisios del SE se fortalecen, incrementando el afloramiento de aguas profundas y frías, reduciendo la temperatura superficial del mar (TSM) por debajo del promedio.|IA_APROBADA
Geografía|DIFICIL|En la legislación del SINANPE peruano, ¿cuál es la diferencia principal entre un Parque Nacional y una Reserva Nacional?|En el Parque Nacional no se permite el turismo, mientras que en la Reserva sí|En la Reserva Nacional se permite el aprovechamiento sostenible directo de recursos silvestres bajo planes de manejo, mientras que el Parque es de uso indirecto (intangible)|Los Parques Nacionales son administrados por municipalidades y las Reservas por el Ministerio de Energía y Minas|Las Reservas Nacionales protegen únicamente muestras arqueológicas y los Parques solo flora endémica|En los Parques Nacionales se otorgan concesiones mineras y en las Reservas está totalmente prohibido|1|Las Reservas Nacionales son áreas naturales protegidas de uso directo donde se autoriza la extracción y aprovechamiento sostenible de recursos silvestres, a diferencia de los Parques Nacionales que son de uso indirecto e intangibles.|IA_APROBADA
Geografía|DIFICIL|El fenómeno demográfico conocido como 'bono demográfico' ocurre cuando la estructura por edades de una población presenta:|Una tasa de mortalidad infantil superior a la tasa de natalidad bruta|Una mayor proporción de personas en edad productiva (15 a 64 años) frente a la población dependiente|Un predominio absoluto de la población mayor de 65 años sobre los jóvenes|Una tasa de fecundidad que supera los 4 hijos por mujer en áreas urbanas|Una tasa neta de migración internacional negativa hacia países desarrollados|1|El bono demográfico se produce cuando la cohorte de población potencialmente activa (15 a 64 años) supera numéricamente al grupo de dependientes (menores de 15 años y adultos mayores).|IA_APROBADA
Geometría|FACIL|Sobre una linea recta se ubican los puntos consecutivos A, B, C y D. Si AB = 4 cm, BC = 6 cm y CD = 8 cm, halle la distancia entre los puntos medios de los segmentos AB y CD.|10 cm|11 cm|12 cm|13 cm|14 cm|2|El punto medio de AB dista 2 cm de B. El punto medio de CD dista 4 cm de C. La distancia entre ambos puntos medios es 2 + BC + 4 = 2 + 6 + 4 = 12 cm.|IA_APROBADA
Geometría|FACIL|En un triangulo ABC, la medida del angulo exterior en el vertice B es 130 grados y la medida del angulo interior en A es 50 grados. Calcule la medida del angulo interior en C.|60°|70°|80°|90°|100°|2|La medida de todo angulo exterior de un triangulo es igual a la suma de las medidas de los dos angulos interiores no adyacentes a el. Por lo tanto, 130° = 50° + m<C, de donde m<C = 80°.|IA_APROBADA
Geometría|FACIL|Calcule el area de una region triangular equilatera cuyo lado mide 8 cm.|8 sqrt(3) cm2|12 sqrt(3) cm2|16 sqrt(3) cm2|24 sqrt(3) cm2|32 sqrt(3) cm2|2|El area de un triangulo equilatero de lado L es (L^2 * sqrt(3)) / 4. Sustituyendo L = 8, obtenemos (64 * sqrt(3)) / 4 = 16 sqrt(3) cm2.|IA_APROBADA
Geometría|FACIL|Un cubo tiene una diagonal principal que mide 5 sqrt(3) cm. Calcule el volumen de dicho cubo.|75 cm3|100 cm3|125 cm3|150 cm3|225 cm3|2|La diagonal de un cubo de arista a es a * sqrt(3). Si la diagonal mide 5 sqrt(3) cm, entonces la arista a = 5 cm. El volumen del cubo es a^3 = 5^3 = 125 cm3.|IA_APROBADA
Geometría|FACIL|Determine la pendiente de la recta que pasa por los puntos P(1, 4) y Q(4, 10) en el plano cartesiano.|1|2|3|4|1/2|1|La pendiente m entre dos puntos (x1, y1) y (x2, y2) se calcula como m = (y2 - y1) / (x2 - x1). Sustituyendo los datos: m = (10 - 4) / (4 - 1) = 6 / 3 = 2.|IA_APROBADA
Geometría|FACIL|En una recta se ubican los puntos consecutivos A, B, C y D. Si AB = 4, CD = 6 y AC + BD = 20, halle la longitud del segmento BC.|3|4|5|6|7|2|Se sabe que AC = AB + BC y BD = BC + CD. Sustituyendo en la ecuación dada: (AB + BC) + (BC + CD) = 20, resulta 4 + 2BC + 6 = 20, de donde 2BC = 10 y por lo tanto BC = 5.|IA_APROBADA
Geometría|FACIL|En un triángulo ABC, la medida del ángulo exterior en el vértice B es 120° y la medida del ángulo interior en A es 50°. Calcule la medida del ángulo interior en C.|50°|60°|70°|80°|40°|2|Por propiedad del ángulo exterior de un triángulo, la medida del ángulo exterior en B es igual a la suma de las medidas de los ángulos interiores no adyacentes A y C: 120° = 50° + C, de donde m\angle C = 70°.|IA_APROBADA
Geometría|FACIL|¿Cuál es el número total de diagonales de un octógono convexo?|14|18|20|24|28|2|El número de diagonales D de un polígono de n lados está dado por D = n(n - 3) / 2. Para un octógono (n = 8), D = 8(8 - 3) / 2 = 8(5) / 2 = 20.|IA_APROBADA
